datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC001063	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae				
SBDI-ASV-191208	ASVBAC001119	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001120	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001125	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001132	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001133	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001187	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000122	Bacteria								
SBDI-ASV-191208	ASVBAC001240	Bacteria								
SBDI-ASV-191208	ASVBAC001290	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000131	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001341	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001355	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001406	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001463	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC001485	Bacteria								
SBDI-ASV-191208	ASVBAC001506	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000159	Bacteria								
SBDI-ASV-191208	ASVBAC001611	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001768	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001803	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001879	Bacteria								
SBDI-ASV-191208	ASVBAC001929	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001993	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002112	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002144	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC002228	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC002237	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002461	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC002463	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC002467	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002566	Bacteria								
SBDI-ASV-191208	ASVBAC002634	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC002740	Bacteria								
SBDI-ASV-191208	ASVBAC002799	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC002802	Bacteria								
SBDI-ASV-191208	ASVBAC002870	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC000317	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000452	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000461	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000473	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
